词,背景弹幕评论词数,R,背景词数乘R,wiki词数,wiki权重,词库估计词数,R口径,R分子_全tag总量,R分母_样本总量
江户,13,1.1036720331575072,14.347736431047593,276,1.0,290.34773643104757,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
黑色,4,1.1036720331575072,4.414688132630029,278,1.0,282.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
日本,42,1.1036720331575072,46.3542253926153,234,1.0,280.3542253926153,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
刑事,0,1.1036720331575072,0.0,277,1.0,277.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
年前,0,1.1036720331575072,0.0,275,1.0,275.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
贝尔,4,1.1036720331575072,4.414688132630029,264,1.0,268.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
一课,0,1.1036720331575072,0.0,268,1.0,268.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
成员,7,1.1036720331575072,7.72570423210255,259,1.0,266.72570423210254,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
少年,21,1.1036720331575072,23.17711269630765,243,1.0,266.17711269630763,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
剧集,4,1.1036720331575072,4.414688132630029,261,1.0,265.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
灰原,12,1.1036720331575072,13.244064397890085,251,1.0,264.2440643978901,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
世良,7,1.1036720331575072,7.72570423210255,256,1.0,263.72570423210254,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
片头曲,3,1.1036720331575072,3.3110160994725213,255,1.0,258.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
摩德,3,1.1036720331575072,3.3110160994725213,253,1.0,256.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
侦探团,15,1.1036720331575072,16.555080497362606,233,1.0,249.5550804973626,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
设定,7,1.1036720331575072,7.72570423210255,241,1.0,248.72570423210254,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
优作,6,1.1036720331575072,6.622032198945043,241,1.0,247.62203219894505,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
杀人,26,1.1036720331575072,28.695472862095187,215,1.0,243.6954728620952,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
父亲,7,1.1036720331575072,7.72570423210255,226,1.0,233.72570423210254,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
川柯南,11,1.1036720331575072,12.140392364732579,221,1.0,233.14039236473258,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
警部,0,1.1036720331575072,0.0,233,1.0,233.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
海报,0,1.1036720331575072,0.0,232,1.0,232.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
波本,3,1.1036720331575072,3.3110160994725213,228,1.0,231.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
园子,8,1.1036720331575072,8.829376265260057,222,1.0,230.82937626526007,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
之后,13,1.1036720331575072,14.347736431047593,216,1.0,230.3477364310476,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
白色,0,1.1036720331575072,0.0,225,1.0,225.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
迈尔,19,1.1036720331575072,20.969768629992636,203,1.0,223.96976862999264,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
真相,16,1.1036720331575072,17.658752530520115,203,1.0,220.6587525305201,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
博士,17,1.1036720331575072,18.762424563677623,198,1.0,216.76242456367763,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
刑警,1,1.1036720331575072,1.1036720331575072,212,1.0,213.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
刚昌,6,1.1036720331575072,6.622032198945043,203,1.0,209.62203219894505,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
一起,16,1.1036720331575072,17.658752530520115,189,1.0,206.6587525305201,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
高木,6,1.1036720331575072,6.622032198945043,199,1.0,205.62203219894505,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
想象,3,1.1036720331575072,3.3110160994725213,201,1.0,204.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
手机,4,1.1036720331575072,4.414688132630029,198,1.0,202.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
其他,11,1.1036720331575072,12.140392364732579,188,1.0,200.14039236473258,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
得知,1,1.1036720331575072,1.1036720331575072,196,1.0,197.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
中森,0,1.1036720331575072,0.0,197,1.0,197.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
封面,9,1.1036720331575072,9.933048298417564,187,1.0,196.93304829841756,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
朗姆,20,1.1036720331575072,22.073440663150144,173,1.0,195.07344066315014,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
使用,0,1.1036720331575072,0.0,195,1.0,195.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
警察学校,0,1.1036720331575072,0.0,194,1.0,194.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
秘密,2,1.1036720331575072,2.2073440663150143,190,1.0,192.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
英理,2,1.1036720331575072,2.2073440663150143,189,1.0,191.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
