词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
无法,498.5954670260418,39,53.93223575897267,6,41.62203219894504,35,9.24485069104688
当年,498.27513615407616,38,52.549357918999014,6,32.62203219894504,26,9.482040426110073
甚至,498.24455637101414,37,51.166480079025355,10,25.036720331575072,14,9.737714136315178
不敢,490.3020772639589,33,45.634968719130725,5,8.518360165787536,3,10.743999415921992
心中,486.19517889328665,33,45.634968719130725,4,9.41468813263003,5,10.654004868189332
需要,485.0782706921869,39,53.93223575897267,17,53.76242456367763,35,8.99421772277417
不到,483.9905646984999,35,48.400724399078044,10,19.036720331575072,8,9.999655391680855
不用,483.985032192345,34,47.017846559104385,9,13.933048298417564,4,10.29364523498424
死神,479.24113195004526,34,47.017846559104385,5,15.518360165787536,10,10.192749498801675
抽烟,477.1753871282396,29,40.10345735923609,0,2.0,2,11.898609709727259
长大,477.0373787750026,34,47.017846559104385,3,16.31101609947252,13,10.1458789307872
结局,476.3138088012667,37,51.166480079025355,19,38.969768629992636,18,9.309098614280519
发型,472.35783215735063,33,45.634968719130725,1,13.103672033157507,12,10.35078680703319
卧底,470.9387308476607,41,56.69799143891999,48,107.97625759156034,55,8.306091960153418
就算,470.3882559932661,33,45.634968719130725,7,13.72570423210255,6,10.307627444391645
日本,468.03493106592043,46,63.61238063878828,42,280.3542253926153,234,7.357607534350499
狂喜,467.3128273527767,26,35.95482383931512,0,0.0,0,12.99722199839537
理解,466.7921790469786,33,45.634968719130725,9,14.933048298417564,5,10.228826536946737
替身,464.8735745472198,30,41.48633519920975,0,5.0,5,11.205462529167313
肤色,464.8112674670766,32,44.252090879157066,1,11.103672033157507,10,10.503713118016867
过去,463.7453844016865,36,49.7836022390517,7,38.72570423210255,31,9.315223558449356
