词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
原来,915.6281948069415,35,95.58882015024304,17,28.762424563677623,10,9.578820968475082
里面,898.616670544783,34,92.85771100309324,19,25.969768629992636,5,9.677351087351793
居然,897.5519603178702,34,92.85771100309324,22,26.280784729465157,2,9.665885047370717
后来,897.4491164452116,34,92.85771100309324,3,26.31101609947252,23,9.664777504749349
老师,892.1573836007683,45,122.89991162174105,36,301.73219319367024,262,7.259219081838178
四年,890.5432234364827,33,90.12660185594343,0,21.0,21,9.881025192316795
看看,889.1014740983462,31,84.66438356164385,8,10.829376265260057,2,10.501481693904905
卧底,887.5646263815834,39,106.51325673884224,43,102.45789742577281,55,8.332902903887218
之后,884.088067749058,43,117.43769332744145,13,230.3477364310476,216,7.5281457145452535
样子,881.7892836512824,33,90.12660185594343,12,23.244064397890085,10,9.783895825349289
谢谢,878.9416578618922,29,79.20216526734424,5,5.518360165787536,0,11.097444809684864
性格,877.8989917313125,40,109.24436588599205,2,138.20734406631502,136,8.036103140069413
毕竟,875.595681794697,30,81.93327441449404,8,8.829376265260057,0,10.686692165689935
难过,873.0427533626062,27,73.73994697304464,1,2.1036720331575074,1,11.839481708357393
一次,870.1758596101749,36,98.31992929739285,16,60.65875253052012,43,8.850452454843754
老公,865.6079839006314,30,81.93327441449404,1,10.103672033157507,9,10.564791778265668
漫画,864.2269519939349,50,136.55545735749007,35,766.6285211605127,728,6.328761725951863
终于,862.5928524382673,32,87.39549270879364,12,21.244064397890085,8,9.869992441286096
男人,858.9559613878,37,101.05103844454264,5,86.51836016578754,81,8.500219043856731
时间,843.8435558609617,47,128.36212991604066,7,599.7257042321025,592,6.573929214269851
是因为,841.8279751280786,29,79.20216526734424,4,9.41468813263003,5,10.628850515469074
人设,840.7078365713984,26,71.00883782589483,1,2.1036720331575074,1,11.839481708357393
不了,839.642154309968,30,81.93327441449404,12,14.244064397890085,1,10.247877438197866
意思,837.7189768960359,28,76.47105612019443,5,6.518360165787536,1,10.954719594552737
萩原研二,836.4289180808413,33,90.12660185594343,1,39.10367203315751,38,9.280599743655848
无法,835.7326554266991,33,90.12660185594343,4,39.414688132630026,35,9.272874359143348
个人,824.2519878643819,35,95.58882015024304,4,76.41468813263003,72,8.62289111392789
一辈子,819.1037066797951,26,71.00883782589483,2,3.2073440663150143,1,11.535236060166755
不错,802.3678189299208,29,79.20216526734424,11,16.140392364732577,4,10.130629841009462
五人,794.5363565021873,27,73.73994697304464,0,8.0,8,10.77484306833889
告白,793.0197213738624,32,87.39549270879364,3,48.311016099472525,45,9.073920139294204
一种,786.929217578776,29,79.20216526734424,8,19.82937626526006,11,9.935703334909128
多少,785.9376984337564,25,68.27772867874504,3,3.3110160994725213,0,11.510894015407107
朋友,784.0147778725677,35,95.58882015024304,9,116.93304829841756,107,8.201950569536079
比较,757.9139615973592,28,76.47105612019443,13,20.347736431047593,6,9.911121933586186
看好,757.7083257430105,25,68.27772867874504,5,5.518360165787536,0,11.097444809684864
死去,757.627556269544,26,71.00883782589483,0,9.0,9,10.669482552681064
一句,756.1811435242845,27,73.73994697304464,11,14.140392364732579,2,10.254701482233282
看着,749.8375998520776,28,76.47105612019443,7,22.72570423210255,15,9.805508618496258
殉职,749.6451942892375,32,87.39549270879364,0,80.0,80,8.57761849100267
生命,746.744634410031,27,73.73994697304464,2,16.207344066315013,14,10.126731372386269
人文,743.9907846955349,21,57.35329209014583,0,0.0,0,12.97206764567511
零零,743.9907846955349,21,57.35329209014583,0,0.0,0,12.97206764567511
结局,737.5262328171859,29,79.20216526734424,18,37.86609659683513,18,9.311945327854245
忘不了,734.7350851192444,22,60.08440123729563,1,1.1036720331575072,0,12.2283832407267
