词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
白鸟,335.6422778756383,41,41.0,1,112.10367203315751,111,8.186397021357031
墨镜,331.19208043607017,32,32.0,0,12.0,12,10.349752513627193
犯人,329.5139991155189,47,47.0,4,365.41468813263003,361,7.010936151394019
完全,312.5048265049648,32,32.0,3,22.31101609947252,19,9.76577582828015
居然,310.02734496922193,28,28.0,3,5.311016099472521,2,11.072405177472211
命中注定,309.95284490612954,24,24.0,0,0.0,0,12.914701871088731
正常,309.57112170704335,28,28.0,4,5.414688132630029,1,11.056111489537262
死神,307.61016821366246,30,30.0,3,13.311016099472521,10,10.253672273788748
配音,306.71452092311233,28,28.0,1,6.103672033157507,5,10.954090032968297
降谷,300.7838089576,43,43.0,3,371.3110160994725,368,6.994972301339534
牺牲,300.3194448502382,27,27.0,0,5.0,5,11.122942401860675
可惜,298.42462742508974,26,26.0,2,3.2073440663150143,1,11.477870285580375
最帅,297.03814303504083,23,23.0,0,0.0,0,12.914701871088731
防护服,297.03814303504083,23,23.0,0,0.0,0,12.914701871088731
突然,292.8401504300822,30,30.0,4,22.41468813263003,18,9.761338347669406
老贼,284.12344116395207,22,22.0,0,0.0,0,12.914701871088731
驯染,284.12344116395207,22,22.0,0,0.0,0,12.914701871088731
只能,281.05148499484113,26,26.0,2,7.207344066315015,5,10.809672499801582
为啥,274.8846777796974,24,24.0,3,3.3110160994725213,0,11.453528240820727
后来,272.626145140742,28,28.0,0,23.0,23,9.736648040740786
短信,272.2618990477045,29,29.0,0,33.0,33,9.388341346472568
回来,271.872871140597,27,27.0,2,16.207344066315013,14,10.069365597799889
漫画,271.69535216530596,43,43.0,3,731.3110160994726,728,6.31849656198386
警校组,271.20873929286336,21,21.0,0,0.0,0,12.914701871088731
比较,270.5596143677463,25,25.0,1,7.103672033157507,6,10.82238457470985
毕竟,270.23294941223577,23,23.0,2,2.2073440663150143,0,11.749258670097207
非常,269.7285919624087,29,29.0,1,36.10367203315751,35,9.300985929738232
人物,267.22745050863995,28,28.0,1,28.10367203315751,27,9.543837518165713
是因为,264.2871185220673,25,25.0,4,9.41468813263003,5,10.571484740882694
年轻,264.0386066893087,27,27.0,0,22.0,22,9.779207655159581
声音,263.9622700892172,30,30.0,3,60.311016099472525,57,8.79874233630724
成熟,262.6856500919822,25,25.0,1,10.103672033157507,9,10.507426003679289
要是,262.2231186048494,25,25.0,3,10.311016099472521,7,10.488924744193977
伊达,260.7010451635603,34,34.0,0,189.0,189,7.667677798928244
很帅,259.2065505429623,22,22.0,1,2.1036720331575074,1,11.782115933771014
一定,258.8095183412986,28,28.0,3,38.311016099472525,35,9.243197083617808
卷毛,255.59136678894671,21,21.0,1,1.1036720331575072,0,12.17101746614032
时期,253.0407795676192,26,26.0,1,23.10367203315751,22,9.732337675677663
医院,249.40632320397526,28,28.0,0,54.0,54,8.907368685856259
摄像头,248.71580709040185,22,22.0,0,4.0,4,11.30526395865463
下巴,247.97423993836847,25,25.0,0,19.0,19,9.918969597534739
一集,246.73051865968196,24,24.0,9,12.933048298417564,3,10.280438277486748
三秒,245.37933555068588,19,19.0,0,0.0,0,12.914701871088731
滤镜,245.37933555068588,19,19.0,0,0.0,0,12.914701871088731
忘记,244.9596400796765,24,24.0,0,14.0,14,10.20665166998652
男神,243.4203493228064,20,20.0,1,1.1036720331575072,0,12.17101746614032
不管,242.09655770934563,21,21.0,0,3.0,3,11.52840750996884
顶级,232.46463367959717,18,18.0,0,0.0,0,12.914701871088731
男人,229.35455051613178,27,27.0,1,82.10367203315751,81,8.494612982078955
问题,228.47848806759706,25,25.0,6,42.62203219894504,36,9.139139522703882
发型,227.69455529979825,22,22.0,0,12.0,12,10.349752513627193
根本,227.00312249583322,21,21.0,2,7.207344066315015,5,10.809672499801582
看过,226.49949464643714,22,22.0,7,12.72570423210255,5,10.295431574838052
之后,226.04413552644814,30,30.0,0,216.0,216,7.534804517548271
每个,222.4588480372135,20,20.0,0,5.0,5,11.122942401860675
一起,222.19468833870587,29,29.0,1,190.1036720331575,189,7.661885804782961
眼睛,221.7379778808135,23,23.0,4,25.41468813263003,21,9.640781646991892
殉职,221.52657062682357,26,26.0,0,80.0,80,8.520252716416291
姐姐,220.5169130307998,26,26.0,2,83.20734406631502,81,8.481419731953839
泪目,219.54993180850843,17,17.0,0,0.0,0,12.914701871088731
心里,214.80001521443796,19,19.0,0,4.0,4,11.30526395865463
