标签名,标签ID,接口报告总稿件数,BV号,标题,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,793,BV1vRvaBBEhH,新年倒计时，名柯团来给你说新年快乐！！,2747,8,5,20,3546630997412341,美女需要解释吗,8
松田阵平,55247,793,BV1YbvsBVEAw,松田阵平：米花町哪来的这么多案件？！,772,20,1,16,3546916348496376,忧郁的碳酸饮料,8
松田阵平,55247,793,BV1YCvHBKEPm,【Meme】萩萩松松的二字词语接龙！,637,5,0,22,240777979,偷只小鱼干,8
松田阵平,55247,793,BV1a4v1BNEba,〖名柯/警五〗那个夏天,215,1,0,102,3494368369445275,命运是一种选择,8
松田阵平,55247,793,BV13RvzBQERf,名柯漫画1156《能找到戒指的魔法》松田阵平对千速告白！案件告破！,698,1,1,230,3537118800382343,阿尔法A黑兵,8
松田阵平,55247,793,BV1wkBrBJEVk,没想到在跨年时收到了松田阵平的祝福！,1224,3,0,13,380555617,_柏建,8
松田阵平,55247,793,BV1oqBYBSESL,柯南最新主线情报！松田阵平将在新剧场版复活？漫画1154话-1156话！剧场版《高速公路的堕天使》观影前必看！,309519,742,942,752,14068111,黝黑蜗壳天眼老师,8
松田阵平,55247,793,BV1o2BqBFERb,【生死对决】佐藤美和子VS萩原千速,1042,3,37,209,1480630101,白金小艾,8
松田阵平,55247,793,BV19SBvBJEBE,【架空】名探偵コナンメインテーマ(ハイウェイの堕天使ヴァージョン),3116,10,0,175,13320065,超联先辈,8
松田阵平,55247,793,BV1hYBeBGEcE,我终于将松田阵平的谷子做出来了！,2014,19,0,86,380555617,_柏建,8
松田阵平,55247,793,BV1Y4BeBjEMu,亡夫回忆录？论萩原千速如何毁掉松田阵平人设！锅在青山！,104831,800,571,545,6309346,爱吃拉面的小Lam同学,8
松田阵平,55247,793,BV1gDBhBPEwv,青山刚昌终于把白月光变平庸男！松田阵平新增单恋千速求婚被拒，转头追佐藤，深情人设崩塌！,29683,46,218,108,23605370,抹茶挖一挖,8
松田阵平,55247,793,BV1xEB9BWETb,【名柯/警校五人組】III手书·圣诞节快乐！,952,18,2,37,1881195481,宋璟stifle,8
松田阵平,55247,793,BV1fhBQBqE3V,柯南1156中字:松田激情告白千速，提出约会请求,207,1,0,15,1344754054,新兰咖喱酱,8
