视频标题,BVID,用户名,评论内容
你们也太宠松田了吧,BV1yL411d7ED,谢渡,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊小阵平！！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊太可爱啦！！！！！！呜哇！！！[喜欢][喜欢][喜欢][喜欢][喜欢]
你们也太宠松田了吧,BV1yL411d7ED,松田田-5114,@念沁雪 这么可爱的松甜甜快都来宠他！！（阵平就是小孩子哈哈哈哈哈太可爱啦[喜欢]
你们也太宠松田了吧,BV1yL411d7ED,w依珊成协,一定要坚持创作哦！
你们也太宠松田了吧,BV1yL411d7ED,羡冰怜花忘秋日,零零如果留胡子，也是金色的吗[星星眼]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,你好啊啊啊兜科,说往窗外丢的弹幕什么啥，呗啊
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,月关名政,这集好像是电视上重复播柯南的最后一集，我也是这集知道柯南的父母。
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,你爹正在,女王是妃英理，有希子的人设更像女巫
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,A西门大官人A,电视上总播这一集，印象很深，解说这集的好少哦
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,ARES1G,列车上的凶案，这个西村京兵警部应该是在致敬西村京太郎吧？
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,我系唐yin爱美柑,人骨拼图也是这样的逻辑
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,Aga649,你这个颜色怎么这么明亮，b站官方的很暗
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,一颗肺脏,作品
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,飞过那片天空,这里有个重点，看见美女就发懵的毛利见到柯南老娘没有任何反应[脱单doge]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,满油咸鸭蛋,这个时期的画风真的最好看
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,一个炒鸡炫酷的名字,想问下up制作的素材来源是哪里，是不是高清重制后的片源，我看B站自己的片源好像清晰度一般，似乎是没重制过的原版
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,bili_小番番,为什么你的画质这么好[思考]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,小宋村,眼前有景道不得，崔颢题诗在上头。
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,古明地士郎,以前早起打开电视就在播这集还是晚上来着
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,矿石镇老农,第一次用麻醉针不是情人节那个案子吗
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,愿我心静如月,很多动漫以前都差不多这种画风，然后现在都是私人画风[笑哭]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,星眸与胡闹,明智这个姓，是致敬明智小五郎吧
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,树莓芝士蛋糕卷,感觉早期的画风比现在更讨喜[微笑]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,熔岩巨兽o_O墨菲特,大阪黑新一，怪盗新一，剑道新一，白马新一，毁容新一，话剧新一，还有哪些欢迎补充
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,上弦之三qwq,致敬的阿婆的东方快车案我记得
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,GiveMeIceCoke,我有这几集的漫画，好怀念啊，偷偷看漫画的时候。
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,魔芋爽翻了,凶手为啥要用门是关着的来狡辩呢？他逃跑的时候不也可以顺道关上门吗
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,凯斯滨王子,我看看
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,放课后的战争,24年的剧版里，新一的大伯带着俩堂兄弟解密，而且人家几年前就解了，还不用收集全6把刀。真是你大爷还是你大爷，父辈太强，被作者定下说不参与主线。
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,bili_63324548759,如果让浅间穿上和加越一样的衣服，假装是浅间想嫁祸给加越的话，加越就不用处理衣服了。这样就没有决定性的证据证明加越是凶手。
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,Xwhysee,就是这一集让我立下了长大一定要去坐一次北斗星的flag。。结果等我长大到有条件去日本了，北海道新干线开通了，北斗星也就废了[OK]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,一颗大土豆豆子_,[微笑]
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,捞馆长,还有个漏洞啊，这样的话铁路上是先出现玻璃碎片，后出现尸体，而且隔得很远，这样事后勘察现场也会露馅
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,Pipi314,总感觉把有希子和优作请过来，但是互动还有案件都差点意思，案件规模搞大点，多加点有希子和小兰柯南的互动就好了
评分9.8！柯南一家联合推理之作！细节讲解柯南最经典案件之一《上野出发的北斗星三号》！！,BV1HtPKeXEeu,Hngyxn,[支持]
