site,novel_id,title,createDate,bookmarkCount,userName,url,tags_joined,matched_characters_joined,primary_character_proxy
Pixiv,11691525,とある同期組のグループ通話14,2019-09-18T22:00:09+09:00,51,りょう,https://www.pixiv.net/novel/show.php?id=11691525,警察学校組,,
Pixiv,11691186,はっぴーえんど大作戦！（仮）⑪,2019-09-18T20:57:53+09:00,3065,結@隠居,https://www.pixiv.net/novel/show.php?id=11691186,コナン夢 | オリ主 | 松田陣平 | 転生 | 逆行 | ジン | 救済 | 待ってましたぁぁぁぁぁぁぁぁ!!!!!! | 続きをお恵みください | コナン夢小説1000users入り,松田阵平,松田阵平
Pixiv,11690165,【松萩】カップルなりきり100の質問～前編,2019-09-18T16:17:57+09:00,110,飛鳥,https://www.pixiv.net/novel/show.php?id=11690165,まじコナ腐向け | 松田陣平 | 萩原研二 | 松萩 | カップリングなりきり100の質問,松田阵平 | 萩原研二,松田阵平
Pixiv,11689852,重く引き摺ってるとは思わなかった(困惑),2019-09-18T14:17:34+09:00,131,メルクリオ,https://www.pixiv.net/novel/show.php?id=11689852,名探偵コナン | コナン夢 | 女主人公 | クロスオーバー? | 萩原研二 | 松田陣平,萩原研二 | 松田阵平,萩原研二
Pixiv,11688187,俺の最愛の人,2019-09-17T23:54:12+09:00,214,くま,https://www.pixiv.net/novel/show.php?id=11688187,オリ主 | コナン夢 | 女主人公 | 松田陣平 | 警察学校組,松田阵平,松田阵平
Pixiv,11687904,お母さんもお父さんも知りません。,2019-09-17T23:20:24+09:00,2732,滴,https://www.pixiv.net/novel/show.php?id=11687904,コナン夢 | 男主 | 江戸川コナン | 松田陣平 | 捏造,江户川柯南 | 松田阵平,江户川柯南
Pixiv,11687825,Love Letter【事前通販開始】,2019-09-17T23:07:44+09:00,173,雨宮柚/新刊通販開始,https://www.pixiv.net/novel/show.php?id=11687825,DC夢 | コナン夢 | 松田陣平,松田阵平,松田阵平
Pixiv,11687304,相手は再婚私は初婚。〜いきなりママ？！〜！,2019-09-17T21:47:46+09:00,257,とかちーず@元佐藤奏都,https://www.pixiv.net/novel/show.php?id=11687304,コナン夢 | オリ主 | 降谷零 | スクロールバーが仕事しない,降谷零,降谷零
Pixiv,11686129,気が付けばあっという間に事態が急変していた元警察官ととある刑事の話,2019-09-17T17:15:32+09:00,6751,陸,https://www.pixiv.net/novel/show.php?id=11686129,コナン夢 | オリ主 | 松田陣平 | ここに式場を建てよう | これは結婚してる(してない) | なにこの夫婦天使!?(まだ夫婦ではない。まだ)続きは何処に… | コナン夢小説5000users入り,松田阵平,松田阵平
Pixiv,11685719,【番外編】彼女のあだ名はぽぽ,2019-09-17T14:11:51+09:00,191,ローズ@マイピク停止中,https://www.pixiv.net/novel/show.php?id=11685719,コナン夢 | 松田陣平 | オリ主 | R15,松田阵平,松田阵平
